epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.11312099546194077,0.5565639734268188,0.7858088460518337,0.7005647136026022,0.5989604511134305,0.5224431271387561
2,0.065218485891819,0.36638009548187256,0.8146639916575245,0.8382907523547493,0.599658641139036,0.5761261708748564
3,0.048379622399806976,0.22195720672607422,0.8036835130252952,0.8411488872437465,0.606108370826078,0.6599042855211006
4,0.04616815596818924,0.17584115266799927,0.8174056709707292,0.8487355514201255,0.6183870626672628,0.6547986198515751
5,0.03606183081865311,0.11620847880840302,0.8174739039925211,0.8508031432741927,0.6480808993550161,0.6636144351467408
6,0.036270979791879654,0.07696858048439026,0.8171992153086591,0.8521055385785428,0.6501808161642437,0.6640519194849676
7,0.026875946670770645,0.06734896451234818,0.821830408577431,0.8531897613623126,0.65236844892948,0.6645685184220759
8,0.028147689998149872,0.06216345354914665,0.8224039323317648,0.8544246942938069,0.6568770710781792,0.6649328846831151
9,0.02420283481478691,0.05687754601240158,0.8212532887000152,0.8548009044481557,0.6583024154800428,0.6650378176280901
10,0.021876227110624313,0.056138619780540466,0.8240401859059421,0.8548661862494151,0.6585501430772248,0.6650915312860654
11,0.020185032859444618,0.0511709600687027,0.826511700505228,0.8553286411361513,0.6581177408581493,0.6651568517881404
12,0.018378296867012978,0.04328709840774536,0.8257197394259164,0.8554370803487232,0.6578693758053599,0.66509230281622
13,0.017141930758953094,0.04866933077573776,0.827676478056608,0.8558490390302335,0.6580625791487055,0.6651527171123021
14,0.01696307584643364,0.06475470215082169,0.8267072646801898,0.8559494077743885,0.657962606665246,0.6656429386861561
15,0.01723673567175865,0.04666251316666603,0.8284136324459316,0.8557792784912844,0.6587490006895843,0.6648550234002745
16,0.016076315194368362,0.05086082965135574,0.8292972677731891,0.8558025313855272,0.6582810529072344,0.6646621281153298
17,0.014359665103256702,0.0637301430106163,0.8268887195295823,0.8558885988550831,0.6578391046586293,0.664143632444499
18,0.013687927275896072,0.031899068504571915,0.8307648711802701,0.8561573486424854,0.6595075273430054,0.6651888794106462
19,0.01430259458720684,0.03609587997198105,0.8324826096716231,0.8562301280211314,0.6595660886874036,0.664997741139537
20,0.013317625038325787,0.0450809970498085,0.8312143814331784,0.8564798037839999,0.6591781766966214,0.664844343817428
21,0.0128715168684721,0.047044917941093445,0.829907610573505,0.85622448446624,0.6590464317974947,0.6649448194302864
22,0.013266444206237793,0.04918723925948143,0.8309933589486389,0.8564737629492803,0.6581983001801646,0.6636247248613995
23,0.011775068007409573,0.05327211320400238,0.8341158855112463,0.856364642746491,0.658519614883568,0.6641902279939776
24,0.010699883103370667,0.035362694412469864,0.8350191243162434,0.8564636353466556,0.6598346037689239,0.6650222961583879
25,0.011833625845611095,0.033025410026311874,0.8326096087115814,0.8564389931872985,0.659436564081178,0.6649136308497945
