epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.02854357659816742,0.08417932689189911,0.5150002169669332,0.9247016909428369,0.5905815310219933,0.8977074902064721
2,0.015392609871923923,0.01930893585085869,0.6122637315219942,0.9702198317426467,0.7056444707790942,0.8992178000330329
3,0.010545294731855392,0.01959414593875408,0.6914784762442121,0.9716393273110063,0.7597700848755493,0.899428281203895
4,0.0072858878411352634,0.009331056848168373,0.7519275946050974,0.9721081708089127,0.786595130563734,0.8995519943674755
5,0.007485589012503624,0.00947027001529932,0.794516844386074,0.9724048893501428,0.8164063923923577,0.8995989810021026
6,0.005794235970824957,0.006092852912843227,0.8200269990016306,0.9725410201363057,0.8155984224022855,0.8996733841977462
7,0.004970857407897711,0.006151480134576559,0.8376529582208555,0.9726347172312844,0.8232168250068159,0.8995892668377943
8,0.004343736916780472,0.005105309188365936,0.8540230049287065,0.9726891206760323,0.8405496713478664,0.8996506960381291
9,0.005155217368155718,0.006717014126479626,0.8664369573410358,0.972724184827696,0.8185054748850419,0.8996112854066396
10,0.003780538681894541,0.006491998676210642,0.875228973242624,0.9727450366738392,0.8387221628291874,0.8995610462285217
11,0.004349329974502325,0.0054098572582006454,0.883374247882296,0.9727846126520145,0.8349625156134461,0.899587891459244
12,0.0042086378671228886,0.005846100393682718,0.8899908405828066,0.9727917951413392,0.8321395269651667,0.8995724402043945
13,0.003403955139219761,0.004252562299370766,0.8931380645466465,0.9728122186696869,0.8414031590768853,0.8995378551224888
14,0.003781752660870552,0.003476903075352311,0.8989561393224035,0.9728120651663035,0.8456251789308261,0.8995900210007507
15,0.002934770891442895,0.003633086336776614,0.9027017442989658,0.9728266097237108,0.850969385327188,0.8995694600443762
16,0.004077072720974684,0.0033457272220402956,0.906009557940185,0.9728326501700164,0.8462138242405828,0.8996159923293329
17,0.003705657320097089,0.004564969334751368,0.9093740328876989,0.9728451646452128,0.8571902333265896,0.8995091412371415
18,0.002694751601666212,0.0037443945184350014,0.9127024885104754,0.972852763818727,0.8539024195841545,0.8995413208322987
19,0.0031168924178928137,0.005027697887271643,0.9100913137347585,0.972853414637072,0.845524248414082,0.899598908648794
20,0.003418605076149106,0.0032688372302800417,0.9127578535032912,0.9728437158786689,0.8576645802293011,0.8995495512552045
21,0.003765646368265152,0.0037584039382636547,0.9138931337405538,0.9728610919115676,0.8526364326874575,0.8994822420751161
22,0.0030344980768859386,0.0039346893317997456,0.9173077521560254,0.9728658622981186,0.8534537380078024,0.8995632482435116
23,0.004040789324790239,0.004623914137482643,0.9160862732828429,0.972870472438715,0.8504872175143559,0.8995583801285338
24,0.002414954360574484,0.003572865854948759,0.9180567952511272,0.9728751507636975,0.8497578353080119,0.8995734408928439
25,0.003934644628316164,0.0024796747602522373,0.9177710647451186,0.9728757086925159,0.8583433322773775,0.8995062088431232
